Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;110;Services communs;012;Ch.de pers., frais ass.;25513;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;40;Services communs;011;Ch.  caract. gén.;4800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;822;Voirie communale et routes;012;Ch.de pers., frais ass.;32754;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6288;Autres services extérieurs;524;Autres services;011;Ch.  caract. gén.;2800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;423;Colonies de vacances;011;Ch.  caract. gén.;290;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;323;Archives;012;Ch.de pers., frais ass.;45790;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;411;Salles de sports, gymnases;011;Ch.  caract. gén.;2100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;63;Aides  la famille;012;Ch.de pers., frais ass.;2876;0
Budget principal VT;Dépense;Ordre;Fonctionnement;M14V;023;Virement  la section d'investissement;23;Virement  la section d'investissement;01;Opération non ventilable;023;;11274381;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6185;Frais de colloques et de séminaires;020;Administration générale de la collectivité;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;327888;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60628;Autres fournitures non stockées;510;Services communs;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;023;Information, communication, publicité;012;Ch.de pers., frais ass.;43027;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;110;Services communs;012;Ch.de pers., frais ass.;13930;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7343;Taxes sur les pylônes électriques;01;Opérations non ventilables;73;Impôts et taxes;78000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60633;Fournitures de voirie;814;Eclairage public;011;Ch.  caract. gén.;450000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;814;Eclairage public;011;Ch.  caract. gén.;17000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);311;Expression musicale, lyrique et chorégraphique;70;Prod. des services;1500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;33;Action culturelle;65;Autres ch d'activité;50000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;524;Autres services;21;Immob. corporelles;71250;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;322;Musées;21;Immob. corporelles;46750;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6248;Divers;022;Administration générale de l'Etat;011;Ch.  caract. gén.;280;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6078;Autres marchandises;324;Entretien du partrimoine culturel;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;33;Action culturelle;012;Ch.de pers., frais ass.;140600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6241;Transports de biens;33;Action culturelle;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;023;Information, communication, publicité;65;Autres ch d'activité;112482;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65541;Contributions au fonds de compensation des charges territoriales (établissement public de territoire);322;Musées;65;Autres ch d'activité;1955100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;024;Ftes et cérémonies;012;Ch.de pers., frais ass.;2938;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;19323;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;023;Information, communication, publicité;012;Ch.de pers., frais ass.;27646;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;816;Autres réseaux et services divers;011;Ch.  caract. gén.;5000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;510;Services communs;13;Subventions;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;510;Services communs;012;Ch.de pers., frais ass.;37686;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;520;Services communs;012;Ch.de pers., frais ass.;45470;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7362;Taxes de séjour;95;Aides au tourisme;73;Impôts et taxes;2990000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;98480;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;323;Archives;011;Ch.  caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;024;Ftes et cérémonies;011;Ch.  caract. gén.;638531;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;65852;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);025;Aides aux associations (non classées ailleurs);70;Prod. des services;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;421;Centres de loisirs;65;Autres ch d'activité;1968000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;421;Centres de loisirs;011;Ch.  caract. gén.;2722500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6244;Transports administratifs;60;Services communs;011;Ch.  caract. gén.;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;321;Bibliothques et médiathques;011;Ch.  caract. gén.;5000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7718;Autres produits exceptionnels sur opérations de gestion;321;Bibliothques et médiathques;77;Prod. exceptionnels;11500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;1016;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6161;Primes d'assurances multirisques;020;Administration générale de la collectivité;011;Ch.  caract. gén.;1799000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;322;Musées;012;Ch.de pers., frais ass.;88099;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;020;Administration générale de la collectivité;011;Ch.  caract. gén.;186634;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;524;Autres services;21;Immob. corporelles;27850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;213;Classes regroupées;011;Ch.  caract. gén.;116600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;213;Classes regroupées;65;Autres ch d'activité;6500000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;02;Administration générale;011;Ch.  caract. gén.;14000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;30;Services communs;012;Ch.de pers., frais ass.;255937;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;322;Musées;012;Ch.de pers., frais ass.;2218643;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;423;Colonies de vacances;011;Ch.  caract. gén.;77000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60628;Autres fournitures non stockées;020;Administration générale de la collectivité;011;Ch.  caract. gén.;8640;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21538;Autres réseaux;020;Administration générale de la collectivité;21;Immob. corporelles;89300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;412;Stades;011;Ch.  caract. gén.;18400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;114;Autres services de protection civile;65;Autres ch d'activité;480;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;40;Services communs;012;Ch.de pers., frais ass.;2474099;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;114;Autres services de protection civile;011;Ch.  caract. gén.;19000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;806605;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;021;Assemblée locale;012;Ch.de pers., frais ass.;86136;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;831;Aménagement des eaux;011;Ch.  caract. gén.;1000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70322;Droits de stationnement et de location sur le domaine public portuaire et fluvial;831;Aménagement des eaux;70;Prod. des services;65000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;95;Aides au tourisme;21;Immob. corporelles;70000;0
